Word,MorphStatus,Lang,ImmSA,ImmAllo,FlatClass,FlatSA,Flat,Class,SylCnt,StrsPat
acid,M,,S,N,A,S,acid[A],A,2,1x
acidic,C,,SA,N,Ax,SA,acid[A][N]+ic[A|N.][A],A,3,x1x
acidify,C,,SA,N,Ax,SA,acid[A]+ify[V|A.][V],V,4,x1xx
acidity,C,,SA,N,Ax,SA,acid[A]+ity[N|A.][N],N,4,x1xx
acid test,C,,SS,N,AN,SS,acid[A][N]+test[N][N],N,3,xx1
acidulate,C,,SA,N,Ax,SA,acid[A]+ate[V|A.][V],V,4,x1xx
acidulated,Z,,F,N,V,F,acidulated[V][A],A,5,x1xxx
acidulous,C,,SA,N,Axx,SAA,acid[A]+ate[V|A.][V]+ous[A|V.][A],A,4,x1xx
ack-ack,M,,S,N,N,S,ack-ack[N],N,2,x1
acknowledge,C,,AS,N,xN,AS,ac[V|.N]+knowledge[N][V],V,3,x1x
acknowledgement,C,,SA,N,xNx,ASA,ac[V|.N]+knowledge[N][V]+ment[N|V.][N],N,4,x1xx
acme,M,,S,N,N,S,acme[N],N,2,1x
acne,M,,S,N,N,S,acne[N],N,2,1x
acolyte,O,,,,,,,N,3,1xx
aconite,O,,,,,,,N,3,1xx
acorn,M,,S,N,N,S,acorn[N],N,2,1x
acorn-cup,C,,SS,N,NN,SS,acorn[N]+cup[N][N],N,3,1xx
acoustic,O,,,,,,,A,3,x1x
acoustic,Z,,S,N,A,S,acoustic[A][N],N,3,x1x
acoustically,C,,SA,N,Ax,SA,acoustic[A]+ally[B|A.][B],ADV,5,x1xxx
acoustics,C,,SA,N,Ax,SA,acoustic[A]+s[N|A.][N],N,3,x1x
acquaintance,C,,SA,N,Vx,SA,acquaint with[V]+ance[N|V.][N],N,3,x1x
acquaintanceship,C,,SA,N,Vxx,SAA,acquaint with[V]+ance[N|V.][N]+ship[N|N.][N],N,4,x1xx
acquaint with,O,,,,,,,V,3,x1x
acquiesce,O,,,,,,,V,3,xx1
acquiescence,C,,SA,N,Vxx,SAA,acquiesce[V]+ent[A|V.][A]+ence[N|A.][N],N,4,xx1x
acquiescent,C,,SA,N,Vx,SA,acquiesce[V]+ent[A|V.][A],A,4,xx1x
acquiescently,C,,SA,N,Vxx,SAA,acquiesce[V]+ent[A|V.][A]+ly[B|A.][B],ADV,5,xx1xx
acquire,R,,,,,,,V,3,x1x
acquired taste,C,,FS,N,VV,FS,acquired[V]+taste[V][N][N],N,4,xxx1
acquirement,C,,SA,N,Vx,SA,acquire[V]+ment[N|V.][N],N,4,x1xx
acquisition,C,,SA,N,Vx,SA,acquire[V]+ition[N|V.][N],N,4,xx1x
acquisitive,C,,SA,N,Vxx,SAA,acquire[V]+ition[N|V.][N]+ive[A|N.][A],A,4,x1xx
acquisitively,C,,SA,N,Vxxx,SAAA,acquire[V]+ition[N|V.][N]+ive[A|N.][A]+ly[B|A.][B],ADV,5,x1xxx
acquisitiveness,C,,SA,N,Vxxx,SAAA,acquire[V]+ition[N|V.][N]+ive[A|N.][A]+ness[N|A.][N],N,5,x1xxx
acquit,C,,AS,N,xA,AS,ac[V|.V]+quit[A][V][V],V,2,x1
acquittal,C,,SA,N,xAx,ASA,ac[V|.V]+quit[A][V][V]+al[N|V.][N],N,3,x1x
acre,M,,S,N,N,S,acre[N],N,2,1x
acreage,C,,SA,N,Nx,SA,acre[N]+age[N|N.][N],N,3,1xx
acrid,O,,,,,,,A,2,1x
acrimonious,C,,SA,N,Nx,SA,acrimony[N]+ous[A|N.][A],A,4,xx1x
acrimoniously,C,,SA,N,Nxx,SAA,acrimony[N]+ous[A|N.][A]+ly[B|A.][B],ADV,5,xx1xx
acrimony,R,,,,,,,N,4,1xxx
acrobat,R,,,,,,,N,3,1xx
acrobatic,C,,SA,N,Nx,SA,acrobat[N]+ic[A|N.][A],A,4,xx1x
acrobatically,C,,SA,N,Nxx,SAA,acrobat[N]+ic[A|N.][A]+ally[B|A.][B],ADV,6,xx1xxx
