Word,OccurTotal,OccurNum,Rating.Mean,Rating.SD,Frequency
apologize,18,18,5.67,2.91,2518
trial,19,19,9.16,2.75,2518
spirit,19,19,7.11,3.11,2517
willing,19,19,8.58,2.81,2512
chair,21,21,3.43,1.33,2511
risk,19,19,7.58,2.14,2501
study,19,19,6.58,2.06,2501
rain,20,20,3.6,1.27,2494
cousin,19,19,4.95,2.07,2491
cream,19,19,5.95,2.48,2484
excited,19,19,6.21,1.69,2479
memory,20,20,6.4,2.41,2477
breathe,19,19,4.11,1.88,2474
enemy,19,19,7.26,2.62,2474
search,18,18,8.72,3.34,2467
huge,21,21,4.9,3.14,2467
beauty,19,19,5.05,1.39,2460
rule,18,18,4.72,1.49,2455
build,20,20,4.45,1.57,2452
choose,19,19,4.74,1.79,2451
advice,18,18,8.61,2.15,2447
victim,18,18,9.39,2.62,2434
coach,19,19,6.89,2,2429
crew,18,18,7.56,2.66,2424
driver,19,19,4.95,1.72,2416
heavy,19,19,4.05,1.27,2412
trick,19,19,6.05,2.99,2411
empty,19,19,4.79,2.25,2409
comfortable,18,18,7.17,3.55,2408
destroy,20,20,6.7,2.32,2406
mission,19,19,9.95,2.97,2400
pool,20,20,5.15,2.3,2396
dumb,18,18,4.5,1.5,2395
knife,1929,1929,4.15,1.8,2387
weapon,19,19,6.95,2.37,2379
restaurant,20,20,5.95,1.79,2373
shirt,19,19,3.53,1.12,2365
faith,21,21,7.62,3.31,2363
dig,21,21,4.19,2.34,2357
size,19,19,4.84,2.48,2353
necessary,20,20,7.55,2.01,2345
blind,19,19,7,2.6,2337
credit,19,19,9.42,3.37,2337
center,21,21,6.57,2.18,2335
bridge,19,19,5.58,2.34,2331
practice,21,21,6.24,2.93,2330
discuss,18,18,7.89,2.08,2329
mister,18,18,6.39,4.1,2326
grandma,19,19,2.58,1.3,2325
cook,18,18,4.22,1.31,2324
stage,19,19,6.32,2.06,2324
